ID_HD	ID_HIP	ID_DM	ID_TYC1	ID_TYC2	ID_TYC3	ID_CATALOG	ID_2MASS	POS_EQ_RA_MAIN	POS_EQ_DEC_MAIN	ID_DENIS	POS_EQ_RA_OTHER	POS_EQ_DEC_OTHER	POS_EQ_PMDEC	POS_EQ_PMRA	POS_PARLX_TRIG	SPECT_TYPE_MK	CODE_VARIAB_V1	CODE_VARIAB_V2	VAR_CLASS	CODE_MULT_FLAG	CODE_MISC_I	CODE_MISC_J	CODE_MISC_K	CODE_QUALITY	POS_GAL_LAT	POS_GAL_LON	VELOC_HC	LD_DIAM	LD_DIAM_ERROR	UD_DIAM	UD_DIAM_ERROR	UDDK_DIAM	UDDK_DIAM_ERROR	DIAM12	DIAM12_ERROR	REDUCT_METHOD	INST_WAVELENGTH_VALUE	INST_FILTER_CODE	PHOT_FLUX_IR_MISC	UNITS	PHOT_JHN_B	PHOT_PHG_B	PHOT_JHN_V	PHOT_PHG_V	PHOT_JHN_R	PHOT_PHG_R	PHOT_JHN_I	PHOT_PHG_I	PHOT_COUS_I	PHOT_JHN_J	PHOT_JHN_H	PHOT_JHN_K	PHOT_JHN_L	PHOT_JHN_M	PHOT_JHN_N	VELOC_ROTAT	PHOT_COLOR_EXCESS	IR_FLUX_ORIGIN	POS_PARLX_TRIG_ERROR	PHOT_FLUX_IR_12	PHOT_FLUX_IR_12_ERROR	REF_STAR	PHYS_TEMP_EFFEC	PHYS_TEMP_EFFEC_ERROR	PHOT_EXTINCTION_TOTAL	CHI2_QUALITY	SP_TYP_PHYS_TEMP_EFFEC	PHOT_COUS_J	PHOT_COUS_H	PHOT_COUS_K	DIAM_BV	DIAM_VR	DIAM_VK	DIAM_IJ	DIAM_IK	DIAM_JK	DIAM_JH	DIAM_HK	DIAM_MEAN	DIAM_BV_ERROR	DIAM_VR_ERROR	DIAM_VK_ERROR	DIAM_IJ_ERROR	DIAM_IK_ERROR	DIAM_JK_ERROR	DIAM_JH_ERROR	DIAM_HK_ERROR	DIAM_MEAN_ERROR	DIAM_FLAG	EXTINCTION_RATIO	MO	LO	KO	HO	JO	IO	RO	VO	BO	VIS2	VIS2_ERROR	VIS2_8	VIS2_8_ERROR	VIS2_13	VIS2_13_ERROR	VIS2_FLAG	DIST	
HD	HIP	DM	TYC1	TYC2	TYC3	opt	2MASS	RAJ2000	DEJ2000	DENIS	A2RAdeg	A2DEdeg	pmDec	pmRa	plx	SpType	VarFlag1	VarFlag2	VarFlag3	MultFlag	Iflag	Jflag	Kflag	Qflag	GLAT	GLON	RadVel	LD	e_LD	UD	e_UD	UDDK	e_UDDK	Dia12	e_dia12	Meth	lambda	lambda	photflux	units	B	Bphg	V	Vphg	R	Rphg	I	Iphg	Icous	J	H	K	L	M	N	RotVel	color	orig	e_Plx	F12	e_F12	Calib	Teff	e_Teff	A_V	Chi2	SpTyp_Teff	Jcous	Hcous	Kcous	diam_bv	diam_vr	diam_vk	diam_ij	diam_ik	diam_jk	diam_jh	diam_hk	diam_mean	e_diam_bv	e_diam_vr	e_diam_vk	e_diam_ij	e_diam_ik	e_diam_jk	e_diam_jh	e_diam_hk	e_diam_mean	diamFlag	Av	Mo	Lo	Ko	Ho	Jo	Io	Ro	Vo	Bo	vis2	vis2Err	vis2(8mu)	vis2Err(8mu)	vis2(13mu)	vis2Err(13mu)	vis2Flag	dist	
-	-	-	-	-	-	U	18060901-3044200	18 06 08.42	-30 44 22.0	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	-4.76	0.68	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.970	16.688	-	-	16.920	-	16.460	15.054	14.099	13.359	13.225	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.089	13.352	13.249	-	-	-	-	-	0.014	0.023	0.033	0.023	-	-	-	-	-	0.001	0.004	0.003	0.005	NOK	0.000	-	-	13.249	13.352	14.089	15.054	16.920	16.688	15.970	-	-	-	-	-	-	-	0.014	
-	-	-	-	-	-	U	18060510-3044501	18 06 05.03	-30 44 50.2	J180605.0-304450	271.520803	-30.747303	0	0	-	-	-	-	-	-	1000	1000	1000	AAA	-4.75	0.66	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18.510	16.565	-	-	15.840	-	13.140	14.955	13.978	13.252	13.121	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.969	13.245	13.145	-	-	-	0.012	0.013	0.015	0.024	-	0.016	-	-	-	0.001	0.001	0.001	0.004	-	0.003	NOK	0.000	-	-	13.145	13.245	13.969	14.955	15.840	16.565	18.510	-	-	-	-	-	-	-	0.015	
-	-	-	-	-	-	U	18060526-3043031	18 06 05.16	-30 43 03.7	J180605.2-304303	271.521523	-30.717759	0	0	-	-	-	-	-	-	1000	1000	1000	AAA	-4.73	0.69	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.460	16.619	-	-	15.330	-	14.430	14.978	13.474	12.837	12.595	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.463	12.827	12.619	-	-	-	0.020	0.019	0.019	0.022	-	0.020	-	-	-	0.001	0.001	0.002	0.004	-	0.004	OK	0.000	-	-	12.619	12.827	13.463	14.978	15.330	16.619	15.460	0.999	0.000	-	-	-	-	-	0.015	
-	-	-	-	-	-	U	18060607-3043044	18 06 06.07	-30 43 04.3	J180606.0-304304	271.525273	-30.718012	0	0	-	-	-	-	-	-	1000	1000	-	AAA	-4.74	0.69	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16.050	18.960	-	-	16.220	-	15.430	15.450	14.157	13.441	13.235	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.144	13.432	13.259	-	-	-	0.014	0.013	0.015	0.021	-	0.016	-	-	-	0.001	0.001	0.001	0.004	-	0.003	NOK	0.000	-	-	13.259	13.432	14.144	15.450	16.220	18.960	16.050	-	-	-	-	-	-	-	0.015	
-	-	-	-	-	-	U	18060078-3044213	18 06 00.84	-30 44 20.2	J180600.7-304421	-	-	0	0	-	-	-	-	-	-	1000	1000	-	AAA	-4.73	0.66	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16.660	17.712	-	-	16.950	-	-	16.079	14.957	14.251	14.084	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.947	14.243	14.108	-	-	-	0.008	0.009	0.010	0.014	-	0.010	-	-	-	0.001	0.001	0.001	0.002	-	0.002	NOK	0.000	-	-	14.108	14.243	14.947	16.079	16.950	17.712	16.660	-	-	-	-	-	-	-	0.016	
-	-	-	-	-	-	U	18060238-3044405	18 06 02.29	-30 44 40.6	J180602.3-304440	271.509545	-30.744667	0	0	-	-	-	-	-	-	1000	1000	1000	AAA	-4.74	0.66	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16.020	-	-	-	15.480	-	11.930	14.132	12.474	11.549	11.263	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12.446	11.538	11.287	-	-	-	0.035	0.038	0.042	0.087	-	0.050	-	-	-	0.003	0.003	0.004	0.015	-	0.010	NOK	0.000	-	-	11.287	11.538	12.446	14.132	15.480	-	16.020	-	-	-	-	-	-	-	0.016	
-	-	-	-	-	-	U	18060865-3043253	18 06 08.69	-30 43 26.7	J180608.9-304328	271.537159	-30.724659	0	0	-	-	-	-	-	-	1000	1000	1000	AAA	-4.75	0.69	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.810	19.803	-	-	16.060	-	15.350	15.673	13.983	13.256	13.016	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.968	13.246	13.040	-	-	-	0.017	0.016	0.017	0.024	-	0.018	-	-	-	0.001	0.001	0.002	0.004	-	0.004	NOK	0.000	-	-	13.040	13.246	13.968	15.673	16.060	19.803	15.810	-	-	-	-	-	-	-	0.016	
-	-	-	-	-	-	U	18060058-3043486	18 06 00.60	-30 43 48.8	J180600.5-304348	271.502464	-30.730387	0	0	-	-	-	-	-	-	1000	1000	1000	AAA	-4.72	0.67	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16.440	19.436	-	-	16.430	-	15.610	14.996	13.653	12.894	12.653	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.636	12.884	12.677	-	-	-	0.018	0.018	0.020	0.030	-	0.021	-	-	-	0.001	0.001	0.002	0.005	-	0.004	NOK	0.000	-	-	12.677	12.884	13.636	14.996	16.430	19.436	16.440	-	-	-	-	-	-	-	0.016	
-	-	-	-	-	-	U	18060307-3044497	18 06 03.08	-30 44 48.6	J180603.0-304449	271.512728	-30.747050	14	2	-	-	-	-	-	-	1000	1000	1000	AAA	-4.74	0.66	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16.430	19.545	-	-	16.220	-	15.390	15.205	13.860	13.074	12.871	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.844	13.065	12.895	-	-	-	0.016	0.016	0.018	0.030	-	0.020	-	-	-	0.001	0.001	0.002	0.005	-	0.004	NOK	0.000	-	-	12.895	13.065	13.844	15.205	16.220	19.545	16.430	-	-	-	-	-	-	-	0.016	
-	-	-	-	-	-	U	18060381-3044536	18 06 03.89	-30 44 52.8	J180603.8-304453	271.516181	-30.748089	0	0	-	-	-	-	-	-	0	0	0	AAA	-4.74	0.66	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17.630	19.435	-	-	15.890	-	15.230	15.205	13.974	13.207	12.996	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.958	13.198	13.020	-	-	-	0.014	0.015	0.017	0.027	-	0.018	-	-	-	0.001	0.001	0.002	0.005	-	0.004	NOK	0.000	-	-	13.020	13.198	13.958	15.205	15.890	19.435	17.630	-	-	-	-	-	-	-	0.016	
-	-	-	-	-	-	U	18060752-3043084	18 06 07.62	-30 43 07.6	J180607.4-304308	271.531587	-30.718848	0	0	-	-	-	-	-	-	1000	1000	1000	AAA	-4.74	0.69	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17.650	-	-	-	13.670	-	12.400	13.343	11.596	10.659	10.342	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11.566	10.647	10.366	-	-	-	0.054	0.059	0.066	0.135	-	0.078	-	-	-	0.004	0.004	0.006	0.023	-	0.016	NOK	0.000	-	-	10.366	10.647	11.566	13.343	13.670	-	17.650	-	-	-	-	-	-	-	0.017	
