# JMMC - Calibrator group
#
# This file has been created by Search Calibrators Software
#		Version : 3.3.5b
#		Date    : 2006-11-06T13:43:19
#
# REQUEST = -objectName HD 187123 -mag 0.00 -diffRa 1800 -diffDec 600 -radius 1.06 -band K -minMagRange 1 -maxMagRange 20 -ra 19:46:57 -dec 34:25:15 -baseMax 100 -wlen 0.5 -file HD 187123.csv -bright false -visErr 1 
# FORMAT = STANDARD
ID_HD	ID_HIP	ID_DM	ID_TYC1	ID_TYC2	ID_TYC3	ID_CATALOG	ID_2MASS	POS_EQ_RA_MAIN	POS_EQ_DEC_MAIN	ID_DENIS	POS_EQ_RA_OTHER	POS_EQ_DEC_OTHER	POS_EQ_PMDEC	POS_EQ_PMRA	POS_PARLX_TRIG	SPECT_TYPE_MK	CODE_VARIAB_V1	CODE_VARIAB_V2	VAR_CLASS	CODE_MULT_FLAG	CODE_MISC_I	CODE_MISC_J	CODE_MISC_K	CODE_QUALITY	POS_GAL_LAT	POS_GAL_LON	VELOC_HC	LD_DIAM	LD_DIAM_ERROR	UD_DIAM	UD_DIAM_ERROR	UDDK_DIAM	UDDK_DIAM_ERROR	DIAM12	DIAM12_ERROR	REDUCT_METHOD	INST_WAVELENGTH_VALUE	INST_FILTER_CODE	PHOT_FLUX_IR_MISC	UNITS	PHOT_JHN_B	PHOT_PHG_B	PHOT_JHN_V	PHOT_PHG_V	PHOT_JHN_R	PHOT_PHG_R	PHOT_JHN_I	PHOT_PHG_I	PHOT_COUS_I	PHOT_JHN_J	PHOT_JHN_H	PHOT_JHN_K	PHOT_JHN_L	PHOT_JHN_M	PHOT_JHN_N	VELOC_ROTAT	PHOT_COLOR_EXCESS	IR_FLUX_ORIGIN	POS_PARLX_TRIG_ERROR	PHOT_FLUX_IR_12	PHOT_FLUX_IR_12_ERROR	REF_STAR	PHYS_TEMP_EFFEC	PHYS_TEMP_EFFEC_ERROR	PHOT_EXTINCTION_TOTAL	CHI2_QUALITY	SP_TYP_PHYS_TEMP_EFFEC	PHOT_COUS_J	PHOT_COUS_H	PHOT_COUS_K	DIAM_BV	DIAM_VR	DIAM_VK	DIAM_IJ	DIAM_IK	DIAM_JK	DIAM_JH	DIAM_HK	DIAM_MEAN	DIAM_BV_ERROR	DIAM_VR_ERROR	DIAM_VK_ERROR	DIAM_IJ_ERROR	DIAM_IK_ERROR	DIAM_JK_ERROR	DIAM_JH_ERROR	DIAM_HK_ERROR	DIAM_MEAN_ERROR	DIAM_FLAG	EXTINCTION_RATIO	MO	LO	KO	HO	JO	IO	RO	VO	BO	VIS2	VIS2_ERROR	VIS2_8	VIS2_8_ERROR	VIS2_13	VIS2_13_ERROR	VIS2_FLAG	DIST	
HD	HIP	DM	TYC1	TYC2	TYC3	opt	2MASS	RAJ2000	DEJ2000	DENIS	A2RAdeg	A2DEdeg	pmDec	pmRa	plx	SpType	VarFlag1	VarFlag2	VarFlag3	MultFlag	Iflag	Jflag	Kflag	Qflag	GLAT	GLON	RadVel	LD	e_LD	UD	e_UD	UDDK	e_UDDK	Dia12	e_dia12	Meth	lambda	lambda	photflux	units	B	Bphg	V	Vphg	R	Rphg	I	Iphg	Icous	J	H	K	L	M	N	RotVel	color	orig	e_Plx	F12	e_F12	Calib	Teff	e_Teff	A_V	Chi2	SpTyp_Teff	Jcous	Hcous	Kcous	diam_bv	diam_vr	diam_vk	diam_ij	diam_ik	diam_jk	diam_jh	diam_hk	diam_mean	e_diam_bv	e_diam_vr	e_diam_vk	e_diam_ij	e_diam_ik	e_diam_jk	e_diam_jh	e_diam_hk	e_diam_mean	diamFlag	Av	Mo	Lo	Ko	Ho	Jo	Io	Ro	Vo	Bo	vis2	vis2Err	vis2(8mu)	vis2Err(8mu)	vis2(13mu)	vis2Err(13mu)	vis2Flag	dist	
-	-	-	-	-	-	U	19465943+3424388	19 46 59.44	+34 24 39.6	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	4.67	69.46	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17.230	16.898	-	-	15.750	-	15.530	15.965	15.326	14.842	14.778	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.333	14.836	14.802	-	-	-	-	-	0.006	0.006	0.008	0.007	-	-	-	-	-	0.001	0.001	0.001	0.001	NOK	0.000	-	-	14.802	14.836	15.333	15.965	15.750	16.898	17.230	-	-	-	-	-	-	-	0.013	
-	-	-	-	-	-	U	19465314+3425188	19 46 53.13	+34 25 18.9	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	4.70	69.46	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16.190	15.288	-	-	13.890	-	14.100	13.722	12.790	12.125	11.963	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12.782	12.117	11.987	-	-	-	-	-	0.025	0.034	0.046	0.035	-	-	-	-	-	0.002	0.006	0.004	0.007	NOK	0.000	-	-	11.987	12.117	12.782	13.722	13.890	15.288	16.190	-	-	-	-	-	-	-	0.013	
-	-	-	-	-	-	U	19465887+3425580	19 46 58.84	+34 25 58.0	-	-	-	-6	-6	-	-	-	-	-	-	-	-	-	AAA	4.68	69.48	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17.670	16.917	-	-	16.480	-	15.830	15.922	15.236	14.609	14.663	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.242	14.606	14.687	-	-	-	-	-	0.006	0.010	0.013	0.010	-	-	-	-	-	0.001	0.002	0.001	0.002	NOK	0.000	-	-	14.687	14.606	15.242	15.922	16.480	16.917	17.670	-	-	-	-	-	-	-	0.014	
-	-	-	-	-	-	U	19465354+3424393	19 46 53.53	+34 24 39.7	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	4.69	69.45	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18.270	16.885	-	-	16.760	-	16.180	15.948	15.305	14.808	14.755	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.312	14.803	14.779	-	-	-	-	-	0.006	0.007	0.008	0.007	-	-	-	-	-	0.001	0.001	0.001	0.001	NOK	0.000	-	-	14.779	14.803	15.312	15.948	16.760	16.885	18.270	-	-	-	-	-	-	-	0.015	
-	-	-	-	-	-	U	19465658+3424182	19 46 56.58	+34 24 18.3	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	4.68	69.45	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.170	14.563	-	-	14.260	-	14.310	13.929	13.519	13.225	13.197	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.538	13.220	13.221	-	-	-	-	-	0.010	0.010	0.012	0.011	-	-	-	-	-	0.001	0.002	0.001	0.002	OK	0.000	-	-	13.221	13.220	13.538	13.929	14.260	14.563	15.170	1.000	0.000	-	-	-	-	-	0.016	
-	-	-	-	-	-	U	19470103+3425458	19 47 00.98	+34 25 45.2	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	4.68	69.48	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18.220	15.736	-	-	16.830	-	13.140	14.835	14.214	13.729	13.691	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.222	13.724	13.715	-	-	-	-	-	0.009	0.011	0.013	0.011	-	-	-	-	-	0.001	0.002	0.001	0.002	NOK	0.000	-	-	13.715	13.724	14.222	14.835	16.830	15.736	18.220	-	-	-	-	-	-	-	0.016	
