# JMMC - Calibrator group
#
# This file has been created by Search Calibrators Software
#		Version : 3.3.5b
#		Date    : 2006-11-06T13:28:50
#
# REQUEST = -objectName HD 183263 -mag 0.00 -diffRa 1800 -diffDec 600 -radius 1.01 -band K -minMagRange 1 -maxMagRange 20 -ra 19:28:24 -dec 8:21:28 -baseMax 100 -wlen 0.5 -file HD 183263.csv -bright false -visErr 1 
# FORMAT = STANDARD
ID_HD	ID_HIP	ID_DM	ID_TYC1	ID_TYC2	ID_TYC3	ID_CATALOG	ID_2MASS	POS_EQ_RA_MAIN	POS_EQ_DEC_MAIN	ID_DENIS	POS_EQ_RA_OTHER	POS_EQ_DEC_OTHER	POS_EQ_PMDEC	POS_EQ_PMRA	POS_PARLX_TRIG	SPECT_TYPE_MK	CODE_VARIAB_V1	CODE_VARIAB_V2	VAR_CLASS	CODE_MULT_FLAG	CODE_MISC_I	CODE_MISC_J	CODE_MISC_K	CODE_QUALITY	POS_GAL_LAT	POS_GAL_LON	VELOC_HC	LD_DIAM	LD_DIAM_ERROR	UD_DIAM	UD_DIAM_ERROR	UDDK_DIAM	UDDK_DIAM_ERROR	DIAM12	DIAM12_ERROR	REDUCT_METHOD	INST_WAVELENGTH_VALUE	INST_FILTER_CODE	PHOT_FLUX_IR_MISC	UNITS	PHOT_JHN_B	PHOT_PHG_B	PHOT_JHN_V	PHOT_PHG_V	PHOT_JHN_R	PHOT_PHG_R	PHOT_JHN_I	PHOT_PHG_I	PHOT_COUS_I	PHOT_JHN_J	PHOT_JHN_H	PHOT_JHN_K	PHOT_JHN_L	PHOT_JHN_M	PHOT_JHN_N	VELOC_ROTAT	PHOT_COLOR_EXCESS	IR_FLUX_ORIGIN	POS_PARLX_TRIG_ERROR	PHOT_FLUX_IR_12	PHOT_FLUX_IR_12_ERROR	REF_STAR	PHYS_TEMP_EFFEC	PHYS_TEMP_EFFEC_ERROR	PHOT_EXTINCTION_TOTAL	CHI2_QUALITY	SP_TYP_PHYS_TEMP_EFFEC	PHOT_COUS_J	PHOT_COUS_H	PHOT_COUS_K	DIAM_BV	DIAM_VR	DIAM_VK	DIAM_IJ	DIAM_IK	DIAM_JK	DIAM_JH	DIAM_HK	DIAM_MEAN	DIAM_BV_ERROR	DIAM_VR_ERROR	DIAM_VK_ERROR	DIAM_IJ_ERROR	DIAM_IK_ERROR	DIAM_JK_ERROR	DIAM_JH_ERROR	DIAM_HK_ERROR	DIAM_MEAN_ERROR	DIAM_FLAG	EXTINCTION_RATIO	MO	LO	KO	HO	JO	IO	RO	VO	BO	VIS2	VIS2_ERROR	VIS2_8	VIS2_8_ERROR	VIS2_13	VIS2_13_ERROR	VIS2_FLAG	DIST	
HD	HIP	DM	TYC1	TYC2	TYC3	opt	2MASS	RAJ2000	DEJ2000	DENIS	A2RAdeg	A2DEdeg	pmDec	pmRa	plx	SpType	VarFlag1	VarFlag2	VarFlag3	MultFlag	Iflag	Jflag	Kflag	Qflag	GLAT	GLON	RadVel	LD	e_LD	UD	e_UD	UDDK	e_UDDK	Dia12	e_dia12	Meth	lambda	lambda	photflux	units	B	Bphg	V	Vphg	R	Rphg	I	Iphg	Icous	J	H	K	L	M	N	RotVel	color	orig	e_Plx	F12	e_F12	Calib	Teff	e_Teff	A_V	Chi2	SpTyp_Teff	Jcous	Hcous	Kcous	diam_bv	diam_vr	diam_vk	diam_ij	diam_ik	diam_jk	diam_jh	diam_hk	diam_mean	e_diam_bv	e_diam_vr	e_diam_vk	e_diam_ij	e_diam_ik	e_diam_jk	e_diam_jh	e_diam_hk	e_diam_mean	diamFlag	Av	Mo	Lo	Ko	Ho	Jo	Io	Ro	Vo	Bo	vis2	vis2Err	vis2(8mu)	vis2Err(8mu)	vis2(13mu)	vis2Err(13mu)	vis2Flag	dist	
-	-	-	-	-	-	U	19282307+0822054	19 28 23.20	+08 22 05.5	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	-4.30	44.62	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18.150	16.237	-	-	14.760	-	14.430	15.082	14.285	13.747	13.640	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.287	13.740	13.664	-	-	-	-	-	0.010	0.012	0.015	0.012	-	-	-	-	-	0.001	0.002	0.001	0.002	NOK	0.000	-	-	13.664	13.740	14.287	15.082	14.760	16.237	18.150	-	-	-	-	-	-	-	0.011	
-	-	-	-	-	-	U	19282112+0821256	19 28 21.13	+08 21 25.9	-	-	-	10	2	-	-	-	-	-	-	-	-	-	AAA	-4.30	44.60	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.760	14.931	-	-	14.190	-	13.410	13.344	12.405	11.713	11.563	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12.396	11.705	11.587	-	-	-	-	-	0.030	0.044	0.060	0.045	-	-	-	-	-	0.003	0.008	0.006	0.009	NOK	0.000	-	-	11.587	11.705	12.396	13.344	14.190	14.931	15.760	-	-	-	-	-	-	-	0.012	
-	-	-	-	-	-	U	19282140+0821061	19 28 21.38	+08 21 05.8	-	-	-	32	-14	-	-	-	-	-	-	-	-	-	AAA	-4.30	44.60	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.600	19.512	-	-	16.000	-	14.360	15.692	13.653	12.900	12.718	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.639	12.891	12.742	-	-	-	-	-	0.019	0.030	0.042	0.030	-	-	-	-	-	0.002	0.005	0.004	0.006	NOK	0.000	-	-	12.742	12.891	13.639	15.692	16.000	19.512	15.600	-	-	-	-	-	-	-	0.012	
-	-	-	-	-	-	U	19282218+0820508	19 28 22.18	+08 20 51.2	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	-4.31	44.60	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18.640	17.336	-	-	16.210	-	15.880	15.790	14.864	14.192	14.051	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.857	14.184	14.075	-	-	-	-	-	0.009	0.013	0.018	0.014	-	-	-	-	-	0.001	0.002	0.002	0.003	NOK	0.000	-	-	14.075	14.184	14.857	15.790	16.210	17.336	18.640	-	-	-	-	-	-	-	0.013	
-	-	-	-	-	-	U	19282752+0821241	19 28 27.42	+08 21 27.9	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	-4.32	44.61	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.880	16.725	-	-	12.730	-	14.910	15.664	14.936	14.592	14.339	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.940	14.582	14.363	-	-	-	-	-	0.007	0.006	0.007	0.007	-	-	-	-	-	0.001	0.001	0.001	0.001	OK	0.000	-	-	14.363	14.582	14.940	15.664	12.730	16.725	15.880	1.000	0.000	-	-	-	-	-	0.014	
-	-	-	-	-	-	U	19282044+0821338	19 28 20.31	+08 21 34.2	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	-4.29	44.60	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16.730	17.894	-	-	14.810	-	16.010	16.291	15.347	14.658	14.495	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.338	14.650	14.519	-	-	-	-	-	0.008	0.011	0.015	0.011	-	-	-	-	-	0.001	0.002	0.001	0.002	NOK	0.000	-	-	14.519	14.650	15.338	16.291	14.810	17.894	16.730	-	-	-	-	-	-	-	0.015	
-	-	-	-	-	-	U	19282715+0821568	19 28 27.13	+08 21 57.1	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	-4.32	44.62	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17.250	21.247	-	-	15.070	-	15.250	17.017	14.728	13.999	13.750	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.712	13.989	13.774	-	-	-	-	-	0.012	0.017	0.023	0.017	-	-	-	-	-	0.001	0.003	0.002	0.003	NOK	0.000	-	-	13.774	13.989	14.712	17.017	15.070	21.247	17.250	-	-	-	-	-	-	-	0.015	
-	-	-	-	-	-	U	19282308+0820310	19 28 23.05	+08 20 31.4	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	-4.31	44.59	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18.950	17.002	-	-	15.980	-	15.560	15.469	14.547	13.822	13.742	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.540	13.816	13.766	-	-	-	-	-	0.011	0.018	0.025	0.018	-	-	-	-	-	0.001	0.003	0.002	0.004	NOK	0.000	-	-	13.766	13.816	14.540	15.469	15.980	17.002	18.950	-	-	-	-	-	-	-	0.016	
