# JMMC - Calibrator group
#
# This file has been created by Search Calibrators Software
#		Version : 3.3.5b
#		Date    : 2006-11-06T13:39:30
#
# REQUEST = -objectName HD 41004 B -mag 0.00 -diffRa 1800 -diffDec 600 -radius 1.03 -band K -minMagRange 1 -maxMagRange 20 -ra 5:59:50 -dec 48:14:23 -baseMax 100 -wlen 0.5 -file HD 41004 B.csv -bright false -visErr 1 
# FORMAT = STANDARD
ID_HD	ID_HIP	ID_DM	ID_TYC1	ID_TYC2	ID_TYC3	ID_CATALOG	ID_2MASS	POS_EQ_RA_MAIN	POS_EQ_DEC_MAIN	ID_DENIS	POS_EQ_RA_OTHER	POS_EQ_DEC_OTHER	POS_EQ_PMDEC	POS_EQ_PMRA	POS_PARLX_TRIG	SPECT_TYPE_MK	CODE_VARIAB_V1	CODE_VARIAB_V2	VAR_CLASS	CODE_MULT_FLAG	CODE_MISC_I	CODE_MISC_J	CODE_MISC_K	CODE_QUALITY	POS_GAL_LAT	POS_GAL_LON	VELOC_HC	LD_DIAM	LD_DIAM_ERROR	UD_DIAM	UD_DIAM_ERROR	UDDK_DIAM	UDDK_DIAM_ERROR	DIAM12	DIAM12_ERROR	REDUCT_METHOD	INST_WAVELENGTH_VALUE	INST_FILTER_CODE	PHOT_FLUX_IR_MISC	UNITS	PHOT_JHN_B	PHOT_PHG_B	PHOT_JHN_V	PHOT_PHG_V	PHOT_JHN_R	PHOT_PHG_R	PHOT_JHN_I	PHOT_PHG_I	PHOT_COUS_I	PHOT_JHN_J	PHOT_JHN_H	PHOT_JHN_K	PHOT_JHN_L	PHOT_JHN_M	PHOT_JHN_N	VELOC_ROTAT	PHOT_COLOR_EXCESS	IR_FLUX_ORIGIN	POS_PARLX_TRIG_ERROR	PHOT_FLUX_IR_12	PHOT_FLUX_IR_12_ERROR	REF_STAR	PHYS_TEMP_EFFEC	PHYS_TEMP_EFFEC_ERROR	PHOT_EXTINCTION_TOTAL	CHI2_QUALITY	SP_TYP_PHYS_TEMP_EFFEC	PHOT_COUS_J	PHOT_COUS_H	PHOT_COUS_K	DIAM_BV	DIAM_VR	DIAM_VK	DIAM_IJ	DIAM_IK	DIAM_JK	DIAM_JH	DIAM_HK	DIAM_MEAN	DIAM_BV_ERROR	DIAM_VR_ERROR	DIAM_VK_ERROR	DIAM_IJ_ERROR	DIAM_IK_ERROR	DIAM_JK_ERROR	DIAM_JH_ERROR	DIAM_HK_ERROR	DIAM_MEAN_ERROR	DIAM_FLAG	EXTINCTION_RATIO	MO	LO	KO	HO	JO	IO	RO	VO	BO	VIS2	VIS2_ERROR	VIS2_8	VIS2_8_ERROR	VIS2_13	VIS2_13_ERROR	VIS2_FLAG	DIST	
HD	HIP	DM	TYC1	TYC2	TYC3	opt	2MASS	RAJ2000	DEJ2000	DENIS	A2RAdeg	A2DEdeg	pmDec	pmRa	plx	SpType	VarFlag1	VarFlag2	VarFlag3	MultFlag	Iflag	Jflag	Kflag	Qflag	GLAT	GLON	RadVel	LD	e_LD	UD	e_UD	UDDK	e_UDDK	Dia12	e_dia12	Meth	lambda	lambda	photflux	units	B	Bphg	V	Vphg	R	Rphg	I	Iphg	Icous	J	H	K	L	M	N	RotVel	color	orig	e_Plx	F12	e_F12	Calib	Teff	e_Teff	A_V	Chi2	SpTyp_Teff	Jcous	Hcous	Kcous	diam_bv	diam_vr	diam_vk	diam_ij	diam_ik	diam_jk	diam_jh	diam_hk	diam_mean	e_diam_bv	e_diam_vr	e_diam_vk	e_diam_ij	e_diam_ik	e_diam_jk	e_diam_jh	e_diam_hk	e_diam_mean	diamFlag	Av	Mo	Lo	Ko	Ho	Jo	Io	Ro	Vo	Bo	vis2	vis2Err	vis2(8mu)	vis2Err(8mu)	vis2(13mu)	vis2Err(13mu)	vis2Flag	dist	
-	-	-	-	-	-	U	05595419+4814298	05 59 54.20	+48 14 30.0	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	12.00	164.52	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.550	12.908	-	-	12.730	-	12.040	12.270	11.854	11.567	11.530	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11.873	11.562	11.554	-	-	-	-	-	0.021	0.022	0.025	0.023	-	-	-	-	-	0.002	0.004	0.002	0.005	OK	0.000	-	-	11.554	11.562	11.873	12.270	12.730	12.908	13.550	0.999	0.000	-	-	-	-	-	0.012	
-	-	-	-	-	-	U	05594670+4813543	05 59 46.71	+48 13 54.6	-	-	-	-4	-2	-	-	-	-	-	-	-	-	-	AAA	11.98	164.52	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.040	13.394	-	-	12.970	-	12.160	12.369	11.664	11.200	11.080	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11.669	11.193	11.104	-	-	-	-	-	0.032	0.033	0.041	0.035	-	-	-	-	-	0.003	0.006	0.004	0.007	OK	0.000	-	-	11.104	11.193	11.669	12.369	12.970	13.394	14.040	0.998	0.000	-	-	-	-	-	0.012	
-	-	-	-	-	-	U	05595315+4814586	05 59 53.14	+48 14 58.9	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	12.01	164.51	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16.410	16.068	-	-	15.600	-	15.130	15.294	14.771	14.367	14.343	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.784	14.362	14.367	-	-	-	-	-	0.006	0.007	0.008	0.007	-	-	-	-	-	0.001	0.001	0.001	0.001	OK	0.000	-	-	14.367	14.362	14.784	15.294	15.600	16.068	16.410	1.000	0.000	-	-	-	-	-	0.013	
-	-	-	-	-	-	U	05594864+4813332	05 59 48.63	+48 13 33.6	-	-	-	6	-4	-	-	-	-	-	-	-	-	-	AAA	11.98	164.52	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16.270	16.189	-	-	15.600	-	15.120	15.452	14.950	14.624	14.554	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.965	14.618	14.578	-	-	-	-	-	0.006	0.006	0.006	0.006	-	-	-	-	-	0.001	0.001	0.001	0.001	OK	0.000	-	-	14.578	14.618	14.965	15.452	15.600	16.189	16.270	1.000	0.000	-	-	-	-	-	0.014	
-	-	-	-	-	-	U	05594588+4815037	05 59 45.89	+48 15 03.9	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	11.99	164.50	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16.450	16.917	-	-	15.760	-	15.500	15.847	15.113	14.706	14.513	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.117	14.697	14.537	-	-	-	-	-	0.007	0.006	0.007	0.007	-	-	-	-	-	0.001	0.001	0.001	0.001	OK	0.000	-	-	14.537	14.697	15.117	15.847	15.760	16.917	16.450	1.000	0.000	-	-	-	-	-	0.016	
-	-	-	-	-	-	U	05594419+4814120	05 59 44.17	+48 14 12.6	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	11.98	164.51	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.640	14.386	-	-	13.800	-	13.430	13.694	13.203	12.988	12.848	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.220	12.981	12.872	-	-	-	-	-	0.012	0.011	0.012	0.011	-	-	-	-	-	0.001	0.002	0.001	0.002	OK	0.000	-	-	12.872	12.981	13.220	13.694	13.800	14.386	14.640	1.000	0.000	-	-	-	-	-	0.016	
