         Planet Name  |  dalpha/dt*cos(delta)   ddelta/dt
          HD 73526 b  |  -60.31 161.70 
          HD 73526 c  |  -60.31 161.70 
          HD 74156 b  |  24.96 -200.48
          HD 74156 c  |   24.96 -200.48
          HD 75289 b  |  -20.50 -227.68
          HD 76700 b  |  -283.05 121.22
          HD 80606 b  |  46.98 6.92
          HD 81040 b  |  -151.35 35.91
          HD 82943 b  |  2.38 -174.05
          HD 82943 c  |  2.38 -174.05
          HD 83443 b  |  22.35   -120.76
           HD 8574 b  |  252.59 -158.59
          HD 86081 b  |  -67.22  17.02
          HD 88133 b  |  -12.87 -263.91
          HD 89307 b  |  -272.82 -39.10
          HD 89744 b  |  -120.17 -138.60
          HD 92788 b  |  -12.63 -222.75 
          HD 93083 b  |  -92.84 -151.12 
          HD 99109 b  |  -179.71 -160.61
          HD 99492 b  |  -730.15 191.17
         HIP 14810 b  |  -3.01  -53.57
         HIP 14810 c  |  -3.01  -53.57
         HIP 75458 b  |  -8.27 17.30
            HR 810 b  |  333.72 219.21
      OGLE-05-071L b  |   0.0   0.0 
      OGLE-05-169L b  |   0.0   0.0 
      OGLE-05-390L b  |   0.0   0.0 
        OGLE-TR-10 b  |   0.0   0.0 
       OGLE-TR-111 b  |   0.0   0.0 
       OGLE-TR-113 b  |   0.0   0.0 
       OGLE-TR-132 b  |   0.0   0.0 
        OGLE-TR-56 b  |   0.0   0.0 
     OGLE235-MOA53 b  |   0.0   0.0
       PSR 1257+12 b  |   0.0   0.0  
       PSR 1257+12 c  |   0.0   0.0 
       PSR 1257+12 d  |   0.0   0.0 
      PSR B1620-26 b  |   0.0   0.0
           rho CrB b  |  -196.88 -773.00
          SCR 1845 b  |  2444.  696.
           SWEEPS-04  |   0.0   0.0
           SWEEPS-11  |   0.0   0.0
           Tau Boo b  |  -480.34 54.18
            TrES-1    |  -40.2 -21.5 
            TrES-2    |  2.9  -3.4
           Ups And b  |  -172.57 -381.03
           Ups And c  |  -172.57 -381.03
           Ups And d  |  -172.57 -381.03
            WASP-1 b  |  0.    0.
            WASP-2 b  |  0.    0.
              XO-1 b  |  -19.7 15.0
